symbol,Company name,Stock Price
ATRL,Attock Refinery Ltd.Ltd,191.24
AVN,Avanceon Ltd. Consolidated,88.90
BAHL,Bank AL-Habib Ltd. limited,52.09
CHCC,Cherat Cement Company Ltd.,129.42
DAWH,Dawood Hercules Corporation Ltd. Consolidated,13.12
DGKC,D. G. Khan Cement Company Ltd.,51.79
EFERT,Engro Fertilizers Ltd.,81.51
ENGRO,Engro Corporation Ltd. Consolidated,246.84
FFBL,Fauji Fertilizer Bin Qasim Ltd. Consolidated,18.33
FFC,Fauji Fertilizer Company Ltd. Consolidated,85.27
GHNI,Ghandhara Industries Ltd.,148.15
HBL,Habib Bank Ltd.,75.01
HUBC,The Hub Power Company Ltd. Consolidated,64.77
ICI,I.C.I Pakistan Ltd. Consolidated,71.91
IGIHL,IGI Holdings Ltd. Consolidated,95.03
INIL,International Industries Ltd. Consolidated,91.64
ISL,International Steels Ltd.,47.46
KAPCO,Kot Addu Power Company Ltd.,28.26
LUCK,Lucky Cement Ltd. Consolidated,584.80
MARI,Mari Petroleum Company Ltd.,1981.10
MCB,MCB Bank Ltd.,112.85
MEBL,Meezan Bank Ltd.,97.72
MLCF,Maple Leaf Cement Factory Ltd. Consolidated,25.05
MTL,Millat Tractors Ltd. Consolidated,655.46
NML,Nishat Mills Ltd. Consolidated,66.25
OGDC,Oil & Gas Development Company Ltd.,74.25
PAEL,Pak Elektron Ltd.,19.31
PIOC,Pioneer Cement Ltd.,64.36
PKGS,Packages Ltd. Consolidated,38.76
POL,Pakistan Oilfields Ltd.,462.22
PPL,Pakistan Petroleum Ltd.,48.41
PSO,Pakistan State Oil Company Ltd. Consolidated,132.66
SEARL,The Searl Company Ltd. Consolidated,74.78
SYS,Systems Ltd.,376.22
TRG,TRG Pakistan Ltd.,137.76
UBL,United Bank Ltd.,132.46
UNITY,Unity Foods Ltd.,16.07
